epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1943.32,1.22159,0.75458,1.17985,0.1986,0.21429,0.06508,0.02466,2.75662,3.6087,3.35211,0.0009605,0.0009605,0.0009605
44,1981.16,1.21131,0.7311,1.14125,0.3465,0.21429,0.1199,0.04054,2.81341,3.20065,3.42826,0.00093575,0.00093575,0.00093575
45,2020.89,1.18124,0.74139,1.16802,0.17509,0.35714,0.12585,0.03974,2.82551,2.75571,3.46551,0.000911,0.000911,0.000911
46,2060.11,1.18974,0.71869,1.14322,0.23328,0.28571,0.11316,0.03844,2.67637,2.73709,3.39764,0.00088625,0.00088625,0.00088625
47,2099.04,1.14404,0.71207,1.13345,0.2507,0.31161,0.12138,0.03481,2.5356,2.82701,3.06104,0.0008615,0.0008615,0.0008615
48,2137.18,1.15226,0.73,1.13311,0.38803,0.35714,0.2065,0.05389,2.69439,2.54464,3.38091,0.00083675,0.00083675,0.00083675
49,2175.46,1.12973,0.68149,1.10612,0.3235,0.28571,0.14513,0.05258,2.50965,2.82947,3.16809,0.000812,0.000812,0.000812
50,2213.96,1.11818,0.65873,1.10034,0.2465,0.28571,0.10278,0.04602,2.54397,3.29376,3.03197,0.00078725,0.00078725,0.00078725
51,2259.8,1.15935,0.71386,1.14684,0.37046,0.21429,0.12989,0.03996,2.56359,3.44812,3.14372,0.0007625,0.0007625,0.0007625
52,2305.21,1.13206,0.70372,1.14027,0.24427,0.28571,0.10646,0.0385,2.56607,3.4562,3.15047,0.00073775,0.00073775,0.00073775
53,2344.1,1.14392,0.6665,1.13319,0.27911,0.28571,0.11714,0.04542,2.59324,3.28183,3.25279,0.000713,0.000713,0.000713
54,2383.84,1.15787,0.68353,1.11596,0.28703,0.21429,0.1167,0.04219,2.57058,3.26831,3.11443,0.00068825,0.00068825,0.00068825
55,2422.38,1.10509,0.65114,1.1032,0.18432,0.21429,0.091,0.03223,2.56954,3.07954,3.14433,0.0006635,0.0006635,0.0006635
56,2460.52,1.06803,0.65646,1.09927,0.2124,0.35714,0.14199,0.0457,2.5439,2.86757,2.99838,0.00063875,0.00063875,0.00063875
57,2502.34,1.10385,0.65858,1.11331,0.25789,0.28571,0.11199,0.03701,2.75196,2.79555,3.22472,0.000614,0.000614,0.000614
58,2541.57,1.03071,0.61565,1.08373,0.23441,0.35714,0.12516,0.05246,2.54711,2.76135,3.13136,0.00058925,0.00058925,0.00058925
59,2579.67,1.08836,0.63785,1.10326,0.2585,0.28571,0.14972,0.05992,2.53157,2.77435,3.11254,0.0005645,0.0005645,0.0005645
60,2618,1.08975,0.6388,1.10076,0.44964,0.28571,0.18134,0.056,2.38682,3.28114,2.983,0.00053975,0.00053975,0.00053975
61,2657.1,1.06265,0.64532,1.11297,0.24565,0.21429,0.13039,0.0551,2.02646,3.02078,2.65413,0.000515,0.000515,0.000515
62,2695.8,1.04783,0.6204,1.08219,0.25721,0.28571,0.13789,0.05334,2.16028,2.98156,2.795,0.00049025,0.00049025,0.00049025
63,2735.56,1.03785,0.64581,1.09596,0.34329,0.35714,0.17671,0.06509,2.38067,2.87231,2.95845,0.0004655,0.0004655,0.0004655
64,2776.29,1.02393,0.58097,1.06282,0.28772,0.28873,0.14921,0.04442,2.57943,2.93542,3.24006,0.00044075,0.00044075,0.00044075
65,2816.36,1.04246,0.59941,1.07755,0.32432,0.35714,0.13895,0.04474,2.58663,3.21491,3.27081,0.000416,0.000416,0.000416
66,2854.58,1.00201,0.59878,1.0688,0.31741,0.28571,0.13614,0.03977,2.51878,3.49003,3.22455,0.00039125,0.00039125,0.00039125
67,2893.37,1.02631,0.6121,1.09032,0.23581,0.28571,0.11244,0.03886,2.59408,3.55828,3.23647,0.0003665,0.0003665,0.0003665
68,2931.75,0.94903,0.56899,1.03501,0.18095,0.28571,0.10316,0.03451,2.54347,3.33539,3.15326,0.00034175,0.00034175,0.00034175
69,2971.53,0.99805,0.58959,1.07068,0.28123,0.28571,0.12469,0.0413,2.52414,2.88953,3.11537,0.000317,0.000317,0.000317
70,3011.17,1.0002,0.60377,1.0798,0.34932,0.21429,0.154,0.05875,2.46975,3.12223,3.10132,0.00029225,0.00029225,0.00029225
71,3050.1,0.92769,0.50916,1.05754,0.39378,0.28571,0.155,0.05617,2.54105,3.32295,3.14033,0.0002675,0.0002675,0.0002675
72,3087.31,0.89974,0.50103,1.05784,0.46725,0.28571,0.20782,0.06965,2.50101,2.81624,3.13234,0.00024275,0.00024275,0.00024275
73,3124.94,0.91178,0.50265,1.05684,0.49823,0.28571,0.22292,0.07349,2.48301,2.75059,3.05737,0.000218,0.000218,0.000218
74,3162.07,0.902,0.48925,1.05246,0.41991,0.35714,0.23465,0.06431,2.38359,2.74707,3.03971,0.00019325,0.00019325,0.00019325
75,3198.8,0.88907,0.47488,1.03328,0.29294,0.28571,0.18331,0.07157,2.3474,2.86252,3.02433,0.0001685,0.0001685,0.0001685
76,3243.83,0.90522,0.49759,1.0644,0.35356,0.35714,0.25912,0.07706,2.30923,2.77831,2.95587,0.00014375,0.00014375,0.00014375
77,3292.42,0.88511,0.48882,1.04128,0.28371,0.28571,0.15811,0.06132,2.26592,2.95043,3.01461,0.000119,0.000119,0.000119
78,3340.44,0.84741,0.47425,1.01806,0.29202,0.28571,0.15093,0.06227,2.34288,2.92495,3.15185,9.425e-05,9.425e-05,9.425e-05
79,3387.21,0.86011,0.46513,1.02166,0.29927,0.28571,0.15798,0.05824,2.31955,3.03511,3.10096,6.95e-05,6.95e-05,6.95e-05
80,3431.39,0.87042,0.47071,1.0367,0.29847,0.28571,0.16292,0.0605,2.34807,3.04858,3.11584,4.475e-05,4.475e-05,4.475e-05
